25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"100,00","99,40","98,80","98,10","95,00","92,30","61,00","27,00","32,60",1365,"18,10"
"100,00","96,30","93,80","91,80","87,00","79,30","54,00","23,00","28,70",1441,"18,10"
"100,00","100,00","99,90","99,50","97,10","93,00","60,00","28,00","31,60",1394,"17,40"
"100,00","100,00","99,90","99,50","97,10","93,00","61,00","27,00","31,90",1424,"21,70"
"100,00","96,50","93,20","90,40","87,50","81,80","46,30","11,30","29,50",1493,"8,30"
"100,00","98,60","97,20","95,60","90,80","86,40","47,30","9,40","30,90",1422,"7,10"
"100,00","98,70","95,30","92,90","88,70","83,10","44,50","10,90","28,30",1487,"9,30"
"100,00","99,40","96,50","91,80","89,20","81,50","42,10","7,60","29,10",1455,"8,60"
"100,00","99,10","97,60","93,40","87,30","78,60","39,80","7,30","27,40",1509,"8,10"
"100,00","100,00","98,10","95,40","90,20","85,60","50,20","9,90","31,80",1391,"9,80"
"100,00","98,10","96,40","91,70","86,40","80,50","47,80","10,60","29,50",1438,"8,40"
"100,00","100,00","100,00","100,00","96,80","38,00","32,80","6,20","14,00",1701,"10,90"
"100,00","100,00","100,00","100,00","96,90","74,10","47,60","8,90","22,20",1593,"6,90"
"100,00","100,00","100,00","100,00","95,70","74,30","45,70","11,30","21,40",1616,"6,30"
"100,00","95,60","84,00","65,50","53,80","21,80","45,70","11,30","9,50",1949,"34,70"
"100,00","100,00","100,00","100,00","95,80","75,30","43,60","10,60","21,90",1605,"5,60"
"100,00","100,00","100,00","100,00","97,20","85,90","47,40","6,10","22,60",1519,"6,30"
"100,00","100,00","100,00","100,00","96,90","74,10","41,70","13,60","21,00",1612,"6,30"
"100,00","100,00","100,00","100,00","90,90","55,30","38,70","12,60","14,80",1638,"7,70"
"100,00","100,00","100,00","100,00","93,50","68,70","38,70","16,00","16,60",1656,"6,80"
"100,00","100,00","100,00","100,00","88,80","70,40","43,40","15,10","15,00",1591,"7,20"
"100,00","100,00","100,00","100,00","92,70","78,40","42,60","13,80","22,70",1620,"6,90"
"100,00","95,10","79,50","71,40","60,90","51,30","37,60","12,50","16,30",1731,"13,80"
"100,00","94,20","79,10","7,07","58,90","47,40","34,50","14,10","15,70",1710,"13,70"
"100,00","100,00","100,00","100,00","92,00","77,70","44,40","10,20","24,50",1607,"6,30"
"100,00","100,00","100,00","100,00","94,70","82,20","43,80","13,60","22,50",1596,"6,80"
"100,00","100,00","100,00","100,00","95,20","74,30","38,80","18,40","17,70",1659,"8,80"
"100,00","100,00","100,00","100,00","93,60","80,30","41,60","13,90","22,30",1605,"7,30"
"100,00","100,00","100,00","100,00","91,80","65,30","39,70","11,50","15,10",1641,"6,60"
"100,00","100,00","100,00","100,00","91,70","77,90","42,80","14,60","22,80",1635,"7,70"
"100,00","100,00","100,00","100,00","94,20","74,80","38,60","16,40","17,30",1665,"7,70"
"100,00","100,00","100,00","100,00","96,20","78,50","39,80","16,40","18,70",1647,"6,90"
"100,00","100,00","100,00","100,00","94,10","74,60","39,70","16,50","16,40",1650,"8,20"
"100,00","100,00","100,00","100,00","92,30","78,30","41,70","19,90","22,30",1625,"6,90"
"100,00","100,00","100,00","100,00","93,70","80,90","46,70","10,50","24,30",1561,"5,70"
"100,00","100,00","100,00","100,00","93,10","78,40","42,70","11,30","22,30",1618,"6,40"
"100,00","100,00","100,00","100,00","92,00","83,40","45,40","8,70","22,30",1547,"4,70"
"100,00","100,00","100,00","100,00","97,10","86,80","46,60","10,40","23,20",1561,"5,90"
"100,00","100,00","100,00","100,00","92,70","79,30","42,90","16,10","21,90",1602,"6,10"
"100,00","100,00","100,00","100,00","94,30","75,80","38,70","16,70","16,80",1674,"7,60"
"100,00","100,00","100,00","100,00","91,50","78,40","42,40","15,20","22,80",1629,"7,00"
