No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
171,100.0,99.2,99.2,99.1,96.5,91.5,57.0,21.0,31.9,1347.0,16.8,
172,100.0,99.3,98.9,98.4,95.5,90.1,58.0,28.0,32.1,1416.0,22.1,
173,100.0,98.2,97.7,97.2,92.4,86.6,54.0,24.0,30.5,1422.0,16.8,
174,100.0,100.0,99.9,99.5,95.4,89.0,57.0,22.0,31.9,1411.0,15.0,
175,100.0,100.0,100.0,99.7,96.9,91.9,55.0,24.0,31.8,1380.0,19.7,
176,100.0,100.0,99.8,99.6,94.7,87.6,54.0,23.0,32.7,1366.0,15.5,
177,100.0,98.3,98.1,97.5,91.9,85.6,57.0,27.0,33.0,1376.0,16.8,
178,100.0,99.8,99.6,99.3,91.8,83.7,54.0,20.0,30.8,1435.0,9.3,
179,100.0,1000.0,99.9,99.7,98.0,94.1,57.0,26.0,30.5,1433.0,15.9,
180,100.0,99.3,99.2,98.9,96.8,91.8,57.0,25.0,32.2,1410.0,19.4,
181,100.0,1000.0,99.9,99.8,95.6,91.1,56.0,24.0,33.0,1358.0,16.2,
182,100.0,99.2,98.8,98.5,95.0,88.3,61.0,30.0,34.3,1326.0,11.3,
183,100.0,96.2,95.6,94.7,90.2,83.9,57.0,22.0,31.3,1375.0,13.2,
184,100.0,98.9,97.3,95.4,90.7,84.4,58.0,24.0,32.5,1322.0,12.2,
185,100.0,100.0,99.9,99.7,85.6,49.7,53.0,19.0,31.7,1428.0,17.6,
186,100.0,99.0,98.7,98.1,94.9,90.6,56.0,22.0,32.2,1395.0,16.8,
187,100.0,98.6,97.5,96.3,92.9,87.4,51.0,19.0,31.9,1369.0,15.8,
188,100.0,98.0,97.6,97.0,94.0,90.1,58.0,24.0,33.1,1352.0,17.1,
189,100.0,100.0,100.0,99.7,97.3,92.4,66.0,26.0,32.9,1397.0,18.0,
190,100.0,99.6,99.4,98.8,97.1,92.4,61.0,29.0,29.0,1524.0,22.0,
191,100.0,99.4,98.8,98.1,96.0,92.3,61.0,27.0,32.6,1365.0,18.1,
192,100.0,96.3,93.8,91.8,87.0,79.3,54.0,23.0,28.7,1441.0,18.1,
193,100.0,100.0,99.9,99.5,97.1,93.0,60.0,28.0,31.6,1394.0,17.4,
194,100.0,100.0,99.9,99.5,97.1,93.0,61.0,27.0,31.9,1424.0,21.7,
195,100.0,100.0,99.6,97.8,95.4,84.1,52.4,11.1,29.0,1423.0,10.3,
196,100.0,100.0,100.0,99.8,97.1,95.1,60.6,14.6,35.6,1349.0,9.4,
197,100.0,100.0,96.3,93.8,90.2,88.2,56.4,9.2,32.7,1385.0,10.3,
198,100.0,100.0,97.9,96.3,90.8,86.7,54.1,7.4,31.2,1404.0,9.2,
199,100.0,100.0,99.9,99.4,96.0,93.4,61.4,11.1,33.4,1327.0,11.8,
200,100.0,100.0,96.8,93.1,91.6,84.8,55.3,9.4,29.6,1437.0,7.5,
201,100.0,100.0,99.3,97.4,92.8,89.4,58.2,9.9,32.1,1345.0,9.1,
202,100.0,99.2,98.9,96.2,90.3,86.7,58.3,12.2,33.1,1339.0,10.9,
203,100.0,100.0,98.2,96.1,91.3,88.9,54.9,11.9,30.9,1354.0,8.2,
204,100.0,100.0,97.3,94.7,91.1,89.2,57.0,11.7,31.4,1398.0,8.7,
205,100.0,100.0,98.3,96.3,91.2,87.9,58.9,13.5,32.0,1372.0,9.2,
206,100.0,98.9,97.1,95.8,90.2,85.1,52.2,10.4,28.7,1415.0,11.3,
207,100.0,99.8,96.1,90.5,88.5,87.5,41.3,5.9,30.6,1409.0,7.2,
208,100.0,100.0,99.6,97.6,95.8,91.9,50.4,10.5,32.6,1390.0,9.8,
209,100.0,99.2,98.9,96.8,93.4,89.7,47.3,10.9,29.8,1432.0,9.0,
210,100.0,100.0,99.6,98.1,95.4,91.0,51.2,12.0,31.5,1383.0,10.2,
211,100.0,99.3,98.1,96.5,92.2,86.4,46.6,9.9,28.6,1431.0,7.8,
212,100.0,98.7,97.4,96.0,94.1,88.2,44.0,8.9,29.4,1466.0,8.9,
213,100.0,98.9,96.3,94.2,89.5,79.8,42.8,9.4,26.9,1506.0,6.3,
214,100.0,99.8,98.0,95.7,92.6,87.8,48.6,10.1,30.6,1454.0,8.2,
215,100.0,94.5,92.9,91.9,84.7,78.2,39.7,8.4,24.9,1529.0,6.8,
216,100.0,98.6,95.6,91.9,88.3,76.5,41.6,9.7,27.6,1499.0,6.5,
217,100.0,99.2,96.4,94.7,91.8,87.5,48.2,9.9,29.1,1419.0,8.5,
218,100.0,97.0,95.2,93.3,92.1,89.3,45.1,7.9,30.2,1473.0,7.9,
219,100.0,98.2,97.5,91.8,88.1,80.2,42.1,9.3,27.3,1512.0,7.1,
220,100.0,99.1,98.3,93.9,90.1,88.2,51.4,11.2,32.1,1398.0,9.6,
221,100.0,99.9,99.0,96.4,90.9,84.4,39.9,4.1,28.7,1430.0,9.8,
222,100.0,98.6,97.1,93.9,90.4,85.9,47.3,10.5,29.6,1489.0,7.2,
223,100.0,98.9,97.6,95.4,92.7,90.4,50.5,11.4,33.1,1361.0,7.5,
224,100.0,99.4,97.9,96.2,91.3,86.4,52.6,12.1,32.2,1385.0,8.8,
225,100.0,97.5,96.2,91.9,87.4,82.6,54.1,12.2,33.8,1343.0,10.6,
226,100.0,98.1,97.3,95.5,90.3,85.8,49.6,10.2,32.1,1404.0,8.3,
227,100.0,100.0,98.5,95.1,90.8,86.3,52.3,12.6,29.6,1428.0,7.8,
228,100.0,98.2,96.4,91.1,85.1,79.5,48.6,8.9,26.8,1502.0,6.8,
229,100.0,99.4,97.6,94.1,89.7,83.4,47.8,7.5,28.9,1485.0,9.6,
230,100.0,100.0,99.0,97.5,94.5,89.1,51.8,12.9,30.4,1411.0,10.8,
231,100.0,100.0,99.8,97.1,96.4,92.9,59.4,14.1,31.5,1387.0,9.2,
232,100.0,100.0,100.0,98.9,95.4,90.3,51.8,12.3,32.1,1359.0,9.9,
233,100.0,100.0,98.8,97.6,93.9,88.5,53.6,12.7,30.2,1465.0,8.6,
234,100.0,100.0,100.0,99.8,98.4,97.3,57.9,15.1,31.5,1362.0,8.1,
235,100.0,100.0,99.4,98.9,97.6,93.8,59.6,11.3,30.8,1393.0,9.8,
236,100.0,100.0,99.4,97.2,93.1,89.8,50.2,12.6,28.9,1472.0,8.3,
237,100.0,100.0,100.0,98.5,96.1,92.4,53.3,13.8,32.1,1381.0,10.1,
238,100.0,100.0,99.2,96.5,94.3,87.8,46.6,7.5,28.9,1463.0,7.6,
239,100.0,100.0,98.6,97.4,96.2,91.5,50.8,10.5,30.6,1416.0,8.8,
240,100.0,100.0,100.0,99.7,97.3,92.4,66.0,26.0,32.9,1397.0,18.0,
241,100.0,99.6,99.4,98.8,97.1,92.4,61.0,29.0,29.0,1524.0,22.0,
242,100.0,99.4,98.8,98.1,95.0,92.3,61.0,27.0,32.6,1365.0,18.1,
